Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x3e1d4ea939bdfe26c6e054d72f67ff120de7bb7c,8.777943211666663175,183,1,1
0xfbb860c1f4e37463925b8c4cf54cacc2495d1f87,5.018145659621385523,172,1,1
0x908837f74f3d17097e61256e57739869435eada8,2.886293482052249054,83,2,1
0x5f33bc84f59b9b73f3b67e1da277fe9269620b2c,8.966214974819840689,177,1,1
0x3adc614522e1bc48f1729b49d043e2a62a89fe66,6.359223139986112621,173,1,1
0xf87425810a89e598055884c1a76c13e05f78f3ed,9.191775786785493696,158,1,1
0x33c36c09ec44163266da19542002f7afe4a4dc99,9.947040040116470975,193,1,1
0x9736a24ec415263fe82f196e94577250ea584272,3.75605195154644304,189,1,1
0xbdbd49ff52b2bd813e0208c4639398cd905f9707,5.802109408688169211,166,1,1
0x19a338f337ebc9c959a6aa6d05abf27871b7b52f,4.220092486938377471,171,1,1
0x3c870c531fccc81ced4bfef56307425b2bc05984,5.911128366998426767,186,1,1
0x006b9b8c1dbe3598a6696c27e8cea173d4bb47ce,5.196775841835561044,161,1,1
