Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0xf9a6c444d9e516a434c2b1dd685f443bba7d2e19,3.412901363705582493,169,1,1
0x9359d61815bac951e14c615024d390ba570756a6,6.503660834208423069,176,1,1
0xfef1981c7ec5845d73ddbe0a589f796d0dedf3bd,4.345331692926372718,188,1,1
0x7906522e625f9312b460d5bc3f83474b4a275db5,4.157520534599434358,191,1,1
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xf9a6c444d9e516a434c2b1dd685f443bba7d2e19,3.412901363705582493,169,1,1
0x7906522e625f9312b460d5bc3f83474b4a275db5,4.157520534599434358,191,1,1
0xfef1981c7ec5845d73ddbe0a589f796d0dedf3bd,4.345331692926372718,188,1,1
0xb6427efc593a44bbb612e1ed903522d63256d491,2.806966943031397774,178,1,1
0x7db3e209558e40d85ed6180d54458d9a714fa18a,6.453218036998142408,159,1,1
0xb6427efc593a44bbb612e1ed903522d63256d491,2.806966943031397774,178,1,1
0x3217dc9f0c5ff1d1332b6bfa241d00938ea00e11,4.171235367381964681,196,1,1
0x122f61e45cbf6b2a33b92e8f409e36a491e78b78,3.220637994455807037,193,1,1
0x122f61e45cbf6b2a33b92e8f409e36a491e78b78,3.220637994455807037,193,1,1
