Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1
0xf4d12e92d21884c3f9f17bb92dfed9de18c257e1,4.518268962302755119,179,1,1
0x7db3e209558e40d85ed6180d54458d9a714fa18a,6.453218036998142408,159,1,1
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1
0x5bac807ad3d6c276a0ae74c665ea4b54b6c359da,7.116482130795353054,185,1,1
0x472d5a13069a13bb884b33297cc5f871f5a3d192,6.497636690460886084,189,1,1
0xea41270189a83978c8fae70eccb84a8fe3dd3b59,8.101932833101363273,187,1,1
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1
0xb2567e648cfc9cea1a892318820056bac1772cf2,3.605787909348556206,182,1,1
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1
0xea41270189a83978c8fae70eccb84a8fe3dd3b59,8.101932833101363273,187,1,1
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1
0x472d5a13069a13bb884b33297cc5f871f5a3d192,6.497636690460886084,189,1,1
