Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x96e3d0eb679bc6bc1e18f19fad0c1874ae6e495f,9.647188331313159735,178,1,1
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1
0x8718b31a70b9a5303522ca107260859a5845ad3b,8.013203060312129962,175,1,1
0x3a3ce1a0f6f430c5b47b1090392d0a4c267b2e91,7.886160820391347536,190,1,1
0xfab4c605a16d587b0dbdc3e1df4db740a8653a2f,3.749018344407594328,184,1,1
0x5664137351c7bc9394a8da3db941560c1ebbe5eb,4.056278347264742143,197,1,1
0x8a0fbff80be75ca8f2357e832c2955f3a9c775d6,8.309967731941245048,167,1,1
0x5664137351c7bc9394a8da3db941560c1ebbe5eb,4.056278347264742143,197,1,1
0x7db3e209558e40d85ed6180d54458d9a714fa18a,6.453218036998142408,159,1,1
0x3217dc9f0c5ff1d1332b6bfa241d00938ea00e11,4.171235367381964681,196,1,1
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1
0x6c2e52ef17cc998e0720aa8da5a5bd405de5c99f,4.463518168102434162,148,1,1
0x9e82c341740508f1ae48116776e97435e7f6c8da,5.46615496442013117,158,1,1
0xf4d12e92d21884c3f9f17bb92dfed9de18c257e1,4.518268962302755119,179,1,1
0x3217dc9f0c5ff1d1332b6bfa241d00938ea00e11,4.171235367381964681,196,1,1
