Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x6c2e52ef17cc998e0720aa8da5a5bd405de5c99f,4.463518168102434162,148,1,1
0x8dd696dadcce688e754f1b274e9b659c31ed37f2,8.380004231946798106,175,1,1
0x3ba3f9fcc46883c3d19ab558dee4a9b2f99d543e,8.654303305337384782,163,1,1
0x93d95049bb61d8a00b48e34afc927fa3fe09774c,4.062462944644426956,193,1,1
0x3adc614522e1bc48f1729b49d043e2a62a89fe66,6.359223139986112621,173,1,1
0x476592d59550f2bb66d4971034970042b1f1a980,4.586683267476042186,160,1,1
0x3ba3f9fcc46883c3d19ab558dee4a9b2f99d543e,8.654303305337384782,163,1,1
0xf4d12e92d21884c3f9f17bb92dfed9de18c257e1,4.518268962302755119,179,1,1
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1
0x93d95049bb61d8a00b48e34afc927fa3fe09774c,4.062462944644426956,193,1,1
0x7df51261896f736fef7141b9627ebbf3f69094dc,5.327010706680476987,196,1,1
0x79093da9706a38fbf7f8b126ca2cb37dda6cb406,8.337950077204280909,180,1,1
0x7326e2f92892857f1b885f350d9618dc91627d8d,7.522850208794496212,188,1,1
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1
0x33c36c09ec44163266da19542002f7afe4a4dc99,9.947040040116470975,193,1,1
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1
