Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x9359d61815bac951e14c615024d390ba570756a6,6.503660834208423069,176,1,1
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xb6427efc593a44bbb612e1ed903522d63256d491,2.806966943031397774,178,1,1
0xab4c9053bf1329976748bac4e72e33d96e7e0d30,7.38343823203365644,177,1,1
0xfbb165c56571731111136b4bec1beb9569130ca2,7.751535657805162385,188,1,1
0xee08aca226edc6cfc563d0241dc2d531f3ac5bf7,5.534603605761808686,154,1,1
0x8b6610c5239d27abcb48f30def592199fcde66cc,8.319556141548546509,197,2,1
0x561447cd3bcc6398aaa8012039f0ba8d3d619a57,6.351869171341918894,192,1,1
0xfef1981c7ec5845d73ddbe0a589f796d0dedf3bd,4.345331692926372718,188,1,1
0x122f61e45cbf6b2a33b92e8f409e36a491e78b78,3.220637994455807037,193,1,1
