Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0xea41270189a83978c8fae70eccb84a8fe3dd3b59,8.101932833101363273,187,1,1
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1
0xd132dfca1eda6a6e45922b63442bed67163807ae,8.437739835398064829,167,1,1
0x7326e2f92892857f1b885f350d9618dc91627d8d,7.522850208794496212,188,1,1
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1
0x5664137351c7bc9394a8da3db941560c1ebbe5eb,4.056278347264742143,197,1,1
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1
0xfbb860c1f4e37463925b8c4cf54cacc2495d1f87,5.018145659621385523,172,1,1
0xf92a2ef4cb0c9d31f0704a5e54c0d6e4744ae4c3,7.425852079821351709,177,1,1
0xed07dfa137a5ef82537b71637039b3997c943f34,9.798460292058382304,173,1,1
0x736f973919d750975d89a9728ea30cf6a516bc92,7.836098508341262001,198,1,1
0x1d80e2b8bbb6ddfdb1622b91d2bf3020aea767fa,4.185043672774607686,190,1,1
0x7095b03f612b12aa5c0dd7069fe30d91a99648c9,8.849080834191506664,143,1,1
0xfab4c605a16d587b0dbdc3e1df4db740a8653a2f,3.749018344407594328,184,1,1
0x8d6c578b04bbd1b7b797e519177fc9dcbd36d9fa,9.518305161838598806,187,1,1
0x7f1b18bc663b67d5a5ac96c192856e3818545526,3.243142127704407518,186,1,1
0x5664137351c7bc9394a8da3db941560c1ebbe5eb,4.056278347264742143,197,1,1
0xe5a18219c6753ab2348e1ec6129c1d45170f5e1b,3.114826417199382609,178,1,1
0x8dd696dadcce688e754f1b274e9b659c31ed37f2,8.380004231946798106,175,1,1
0x2fa218255a70198f12a720cc420cde66dcd4e74c,6.982619679157059821,187,1,1
0x929cc7dcc10b498be8b6cf4820baa111bddb34f1,8.233342015755771533,166,1,1
0x96e3d0eb679bc6bc1e18f19fad0c1874ae6e495f,9.647188331313159735,178,1,1
0x7f1b18bc663b67d5a5ac96c192856e3818545526,3.243142127704407518,186,1,1
