Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0xe66cd45e211191e3ca8fa8ae86a43aa92268c390,3.812690477878696536,173,1,1
0x625e7a98673c5ba8a7c653df6eef35b146e804c2,7.527689149612641206,176,1,1
0x14a6cc86034fce270a50b9f768c42ac0d4a67600,4.473621587404216566,183,1,1
0x54d97b623d4bbcf17675e7fc517f910d4a8cf99c,7.683294614690130842,167,1,1
0x93d95049bb61d8a00b48e34afc927fa3fe09774c,4.062462944644426956,193,1,1
0x19a338f337ebc9c959a6aa6d05abf27871b7b52f,4.220092486938377471,171,1,1
0xf92a2ef4cb0c9d31f0704a5e54c0d6e4744ae4c3,7.425852079821351709,177,1,1
0xab68d39440713773b0cbbd5c8432e4fda41ca554,4.47628743503373231,83,2,1
0x95fb3f047321910621b67139a4087d06671a51f5,5.697822701786060898,179,1,1
0x12e1a07f7d84e7180c4d857d81cc0b6fd51f7f19,9.080434407474839826,174,1,1
0xe5a18219c6753ab2348e1ec6129c1d45170f5e1b,3.114826417199382609,178,1,1
0x62b0d98601cd44cd2194362f2fd88535774ab779,7.386385292868518127,172,1,1
