Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0xdef13dea6b0ef513a6bb0002d4e45f0250ac21e1,2.700225643604256502,180,1,1
0x0117092607d7f8c8c302aaf09bea94938b02d3a8,6.268157677060874355,184,1,1
0xf2242be4b2a0581563bf61a21fba53a57036d60e,6.666328817223338596,184,1,1
0x47157fbfcc4fdacaf7583a2ecdef640067952913,4.776633116188975472,187,1,1
0x9928fcf89b8a400667fc1d3636c66212fa26e598,6.780622225980091679,199,1,1
0x0117092607d7f8c8c302aaf09bea94938b02d3a8,6.268157677060874355,184,1,1
0xa7c9739298ef419fa21cd20fef8ef29a1a4c30f1,2.902499555677959091,167,1,1
0xf2242be4b2a0581563bf61a21fba53a57036d60e,6.666328817223338596,184,1,1
0x53b3258161cb01db348bd898e553256203128bc0,7.095920986753988424,165,1,1
0x122f61e45cbf6b2a33b92e8f409e36a491e78b78,3.220637994455807037,193,1,1
0x2825a0eb9b00dab0f944c948444f90f2fcbb05e4,4.112556534719851637,182,1,1
0x561447cd3bcc6398aaa8012039f0ba8d3d619a57,6.351869171341918894,192,1,1
0x561447cd3bcc6398aaa8012039f0ba8d3d619a57,6.351869171341918894,192,1,1
0xb7104f5e8ebfc4ea5f9a7ad211655b3870e7b461,4.804530002289137147,169,1,1
0x03b8d5b981eefb5c0c558594133a0072ffd86cf4,3.773006464052116731,171,1,1
0x561447cd3bcc6398aaa8012039f0ba8d3d619a57,6.351869171341918894,192,1,1
