Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xab4c9053bf1329976748bac4e72e33d96e7e0d30,7.38343823203365644,177,1,1
0x901576ac8a5246a9e13f6f9d79870543eac9fae6,8.114435409519129367,162,1,1
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xd8add96a6624bf2389641e1f8352396a8c6d56da,4.249384535151869754,171,1,1
0xdef13dea6b0ef513a6bb0002d4e45f0250ac21e1,2.700225643604256502,180,1,1
0x0117092607d7f8c8c302aaf09bea94938b02d3a8,6.268157677060874355,184,1,1
