Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x54d97b623d4bbcf17675e7fc517f910d4a8cf99c,7.683294614690130842,167,1,1
0x5c0413dd0130730bf4d21b4ad785655a174454e5,7.463505868988290895,173,1,1
0x12e1a07f7d84e7180c4d857d81cc0b6fd51f7f19,9.080434407474839826,174,1,1
0x713b2f91e905458b0dd214e15aec18cea2cee9fc,3.738335808877393497,191,1,1
0xf78d62025fbad077e22aad7d9321ef32edbbb232,4.262937546945947462,196,1,1
0x14a6cc86034fce270a50b9f768c42ac0d4a67600,4.473621587404216566,183,1,1
0xe5a18219c6753ab2348e1ec6129c1d45170f5e1b,3.114826417199382609,178,1,1
0x625e7a98673c5ba8a7c653df6eef35b146e804c2,7.527689149612641206,176,1,1
0x19a338f337ebc9c959a6aa6d05abf27871b7b52f,4.220092486938377471,171,1,1
0x3c870c531fccc81ced4bfef56307425b2bc05984,5.911128366998426767,186,1,1
0xb92dec9ed35f960a2c9f3ed37d7e8b8f29ec8c59,5.63486598931656494,149,1,1
0xbdbd49ff52b2bd813e0208c4639398cd905f9707,5.802109408688169211,166,1,1
