Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x472d5a13069a13bb884b33297cc5f871f5a3d192,6.497636690460886084,189,1,1
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1
0x11dc7e664541bd4f5a5970f804c51fa69314e734,8.891612701618584095,192,1,1
0x9928fcf89b8a400667fc1d3636c66212fa26e598,6.780622225980091679,199,1,1
0x7dc7e27408f05c10ab992ac0cde684ff48f5a918,4.264865263962771446,83,2,1
0x5bac807ad3d6c276a0ae74c665ea4b54b6c359da,7.116482130795353054,185,1,1
0x11dc7e664541bd4f5a5970f804c51fa69314e734,8.891612701618584095,192,1,1
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1
0x9e1811c5be842571ebe9714d06c365a1c0fbd292,3.118365607054315183,196,1,1
0x9359d61815bac951e14c615024d390ba570756a6,6.503660834208423069,176,1,1
0x9359d61815bac951e14c615024d390ba570756a6,6.503660834208423069,176,1,1
0x9e82c341740508f1ae48116776e97435e7f6c8da,5.46615496442013117,158,1,1
0xe9790c4ccb3744484c27ca5a9142a080f2fd1fec,5.447209373825005463,164,1,1
0xf9a6c444d9e516a434c2b1dd685f443bba7d2e19,3.412901363705582493,169,1,1
