Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age
0x9928fcf89b8a400667fc1d3636c66212fa26e598,6.780622225980091679,199,1,1
0xa7c9739298ef419fa21cd20fef8ef29a1a4c30f1,2.902499555677959091,167,1,1
0xa7c9739298ef419fa21cd20fef8ef29a1a4c30f1,2.902499555677959091,167,1,1
0x472d5a13069a13bb884b33297cc5f871f5a3d192,6.497636690460886084,189,1,1
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1
0xf89a5649c49677890aabbcdcdb21354220bf887f,2.894161242729839953,190,1,1
0x8ee713a16491e59327f6fb05376822ab565a653b,4.619694053407142684,194,1,1
0x914d5ddb76288c470802646807885f15a94a76df,3.446406520226139108,171,1,1
0xab4c9053bf1329976748bac4e72e33d96e7e0d30,7.38343823203365644,177,1,1
0xb7104f5e8ebfc4ea5f9a7ad211655b3870e7b461,4.804530002289137147,169,1,1
