Address,Total_Gas,Total_Tx,Use_Chains,Wallet_Age,Pass_ThreeMoney,Active_Days
0xd8add96a6624bf2389641e1f8352396a8c6d56da,4.249384535151869754,171,1,1,false,18
0x384a66996d0f4627daa38bd39f7b017e3c70b619,6.870346859428307537,185,1,1,false,16
0xdef13dea6b0ef513a6bb0002d4e45f0250ac21e1,2.700225643604256502,180,1,1,false,16
0x0117092607d7f8c8c302aaf09bea94938b02d3a8,6.268157677060874355,184,1,1,false,18
0xe66cd45e211191e3ca8fa8ae86a43aa92268c390,3.812690477878696536,173,1,1,false,16
0x93d95049bb61d8a00b48e34afc927fa3fe09774c,4.062462944644426956,193,1,1,false,16
0xf92a2ef4cb0c9d31f0704a5e54c0d6e4744ae4c3,7.425852079821351709,177,1,1,false,15
0x95fb3f047321910621b67139a4087d06671a51f5,5.697822701786060898,179,1,1,false,19
0xf2242be4b2a0581563bf61a21fba53a57036d60e,6.666328817223338596,184,1,1,false,15
0x47157fbfcc4fdacaf7583a2ecdef640067952913,4.776633116188975472,187,1,1,false,16
0x53b3258161cb01db348bd898e553256203128bc0,7.095920986753988424,165,1,1,false,19
0x2825a0eb9b00dab0f944c948444f90f2fcbb05e4,4.112556534719851637,182,1,1,false,16
0x03b8d5b981eefb5c0c558594133a0072ffd86cf4,3.773006464052116731,171,1,1,false,18
0x7f1b18bc663b67d5a5ac96c192856e3818545526,3.243142127704407518,186,1,1,false,15
0x476592d59550f2bb66d4971034970042b1f1a980,4.586683267476042186,160,1,1,false,13
0x7326e2f92892857f1b885f350d9618dc91627d8d,7.522850208794496212,188,1,1,false,17
